dialogue_id,split,turn_id,role,text,act,issue,value
0,train,0,Candidate,Hello. I would like to discuss the issues of my contract.,Greet,,True
0,train,1,Candidate,I would like a position of project manager,Offer,Job Description,Project Manager
0,train,2,Employer,We do not have any project manager positions open at this time. ,Reject,Job Description,Project Manager
0,train,3,Candidate,I want a position of project manager,Offer,Job Description,Project Manager
0,train,4,Employer,I do have programmer positions open with a strong potential to advance to project manager based on your performance.,Offer,Job Description,Programmer
0,train,5,Candidate,I disagree about a position of programmer. I would like a position of project manager,Reject,Job Description,Programmer
0,train,5,Candidate,I disagree about a position of programmer. I would like a position of project manager,Offer,Job Description,Project Manager
0,train,6,Employer,I disagree about position of project manager,Reject,Job Description,Project Manager
0,train,7,Candidate,I am willing to have a position of team manager,Offer,Job Description,Team Manager
0,train,8,Employer,I might consider team manager based on your other needs,Accept,Job Description,Team Manager
0,train,9,Candidate,It's great that you agree,Other,,
0,train,10,Candidate,"I would like a salary of 120,000",Offer,Salary,"120,000 USD"
0,train,11,Employer,it is a 10 hour work day for team manager,Offer,Job Description,Team Manager
0,train,11,Employer,it is a 10 hour work day for team manager,Offer,Working Hours,10 hours
0,train,12,Candidate,I disagree. I am expecting a workday of 8 hours and I want a position of project manager,Reject,,True
0,train,12,Candidate,I disagree. I am expecting a workday of 8 hours and I want a position of project manager,Offer,Working Hours,8 hours
0,train,12,Candidate,I disagree. I am expecting a workday of 8 hours and I want a position of project manager,Offer,Job Description,Project Manager
0,train,13,Employer,"I disagree, it is not possible. Maybe you should consider work elsewhere?",Reject,,True
0,train,13,Employer,"I disagree, it is not possible. Maybe you should consider work elsewhere?",Quit,,True
0,train,14,Candidate,"I am willing to have a salary of 120,000",Offer,Salary,"120,000 USD"
0,train,15,Candidate,"I am willing to have a salary of 120,000",Offer,Salary,"120,000 USD"
0,train,16,Employer,"I have a programmer position open with a 10% pension. It pays 60,000 for a 10 hour day and I can fast track you to team leader.",Offer,Job Description,Programmer
0,train,16,Employer,"I have a programmer position open with a 10% pension. It pays 60,000 for a 10 hour day and I can fast track you to team leader.",Offer,Pension Fund,10%
0,train,16,Employer,"I have a programmer position open with a 10% pension. It pays 60,000 for a 10 hour day and I can fast track you to team leader.",Offer,Promotion Possibilities,Fast promotion track
0,train,16,Employer,"I have a programmer position open with a 10% pension. It pays 60,000 for a 10 hour day and I can fast track you to team leader.",Offer,Salary,"60,000 USD"
0,train,16,Employer,"I have a programmer position open with a 10% pension. It pays 60,000 for a 10 hour day and I can fast track you to team leader.",Offer,Working Hours,10 hours
0,train,17,Candidate,I reject the previous offer,Reject,,True
0,train,18,Employer,I appreciate your time and I am sorry we cannot reach an agreement.,Quit,,True
0,train,19,Candidate,"I am expecting a salary of 120,000",Offer,Salary,"120,000 USD"
0,train,20,Employer,"Programmer, 60000, 10% pension, fast promotion track to team leader based on your performance and 10 hour day",Offer,Job Description,Programmer
0,train,20,Employer,"Programmer, 60000, 10% pension, fast promotion track to team leader based on your performance and 10 hour day",Offer,Pension Fund,10%
0,train,20,Employer,"Programmer, 60000, 10% pension, fast promotion track to team leader based on your performance and 10 hour day",Offer,Promotion Possibilities,Fast promotion track
0,train,20,Employer,"Programmer, 60000, 10% pension, fast promotion track to team leader based on your performance and 10 hour day",Offer,Working Hours,10 hours
0,train,20,Employer,"Programmer, 60000, 10% pension, fast promotion track to team leader based on your performance and 10 hour day",Offer,Salary,"60,000 USD"
0,train,21,Candidate,I reject. I am expecting a position of project manager,Reject,,True
0,train,21,Candidate,I reject. I am expecting a position of project manager,Offer,Job Description,Project Manager
0,train,22,Employer,"Yes, well, we dont have any project manager vacancies.",Reject,Job Description,Project Manager
0,train,23,Candidate,"I am expecting a salary of 120,000",Offer,Salary,"120,000 USD"
