scenario_id,condition,run_id,turn,speaker,text,salary_offer,hours_offer,decision
1,cooperative,0,0,Employer,"MESSAGE: I understand your proposal, but our maximum offer is 87,000. Would you be open to a salary of 85,000 and 9 hours of work?
SALARY_OFFER: 85000
HOURS_OFFER: 9
DECISION: continue",85000.0,9.0,continue
1,cooperative,0,0,Candidate,"MESSAGE: We're willing to consider that option. However, I think we could meet in the middle at 86,500. Would you be open to a salary of 86,500 and 8 hours?
SALARY_OFFER: 86500
HOURS_OFFER: 8
DECISION: continue",86500.0,8.0,continue
1,cooperative,0,1,Employer,"MESSAGE: We appreciate your willingness to negotiate. Unfortunately, our maximum salary offer is 87,000. However, we're open to discussing the working hours. Would you be willing to consider 9.5 hours at 86,500?
SALARY_OFFER: 86500
HOURS_OFFER: 9.5
DECISION: continue",86500.0,9.5,continue
1,cooperative,0,1,Candidate,"MESSAGE: Thank you for the offer. While I appreciate the flexibility on working hours, the salary is still below my minimum acceptable threshold. Would you consider increasing it to 85,000 or closer?
SALARY_OFFER: 86500
HOURS_OFFER: 9.5
DECISION: continue",86500.0,9.5,continue
1,cooperative,0,2,Employer,"MESSAGE: We're open to considering a higher salary, but we'd like to stay within our internal budget constraints. Would you be willing to accept 82,000 instead?
SALARY_OFFER: 82000
HOURS_OFFER: NONE
DECISION: continue",82000.0,,continue
1,cooperative,0,2,Candidate,"MESSAGE: We understand your concerns about the budget, but our target salary is above that. Could we explore other options within your internal constraints?
SALARY_OFFER: NONE
HOURS_OFFER: NONE
DECISION: continue",,,continue
1,cooperative,0,3,Employer,"MESSAGE: I'd be happy to consider alternative solutions. Our preferred salary range is 75,000 - 87,000 USD.
SALARY_OFFER: 75,000
HOURS_OFFER: 10
DECISION: continue",75000.0,10.0,continue
1,cooperative,0,3,Candidate,"MESSAGE: That's a bit lower than our target, but we're open to discussing further. We're looking for a more competitive offer.
SALARY_OFFER: NONE
HOURS_OFFER: 10
DECISION: continue",,10.0,continue
1,cooperative,0,4,Employer,"MESSAGE: I understand your concerns. We're willing to revisit the salary. However, we still need to ensure our working hours align with our operations. Can you propose a higher salary and confirm if it's feasible for you to work within our current schedule?
SALARY_OFFER: NONE
HOURS_OFFER: 10
DECISION: continue",,10.0,continue
1,cooperative,0,4,Candidate,"MESSAGE: I appreciate your willingness to revisit the salary. My target is around 90,000 USD. As for working hours, 9 hours maximum would be acceptable for me.
SALARY_OFFER: NONE
HOURS_OFFER: 10
DECISION: continue",,10.0,continue
1,cooperative,0,5,Employer,"MESSAGE: I'm open to discussing the salary further. However, our internal policy caps it at 87,000 USD. Let's focus on that. Would you consider a compromise on working hours?
SALARY_OFFER: NONE
HOURS_OFFER: 10
DECISION: continue",,10.0,continue
1,cooperative,0,5,Candidate,"MESSAGE: Thank you for the transparency. I'm willing to consider the salary cap of 87,000 USD. However, I'd like to explore options within that range. On the working hours front, I'm not comfortable with 10 hours. Could we discuss a more reasonable schedule?
SALARY_OFFER: 87,000
HOURS_OFFER: 10
DECISION: continue",87000.0,10.0,continue
1,cooperative,0,6,Employer,"MESSAGE: We can definitely work together to find a mutually beneficial solution. Considering your request for a more reasonable schedule, I'm willing to explore options within the range of 9 hours.
SALARY_OFFER: 87,000
HOURS_OFFER: 9
DECISION: continue",87000.0,9.0,continue
1,cooperative,0,6,Candidate,"MESSAGE: That sounds like a good starting point. However, I was hoping we could discuss a salary that reflects my value to the company. I'm thinking more along the lines of $90,000.
SALARY_OFFER: 87,000
HOURS_OFFER: 9
DECISION: continue",87000.0,9.0,continue
1,cooperative,0,7,Employer,"MESSAGE: I appreciate your enthusiasm, but our budget is quite tight at this point. I'd be willing to consider a salary of $75,000. What do you think about that?
SALARY_OFFER: 75,000
HOURS_OFFER: 9
DECISION: continue",75000.0,9.0,continue
1,cooperative,0,7,Candidate,"MESSAGE: I understand the budget constraints, but $75,000 is lower than my minimum target. Would it be possible to revisit the salary discussion?
SALARY_OFFER: 75,000
HOURS_OFFER: 9
DECISION: continue",75000.0,9.0,continue
1,cooperative,1,0,Employer,"MESSAGE: That's a bit above our budget. How about we consider 75,000 USD and 10 hours of work?
SALARY_OFFER: 75000
HOURS_OFFER: 10
DECISION: continue",75000.0,10.0,continue
1,cooperative,1,0,Candidate,"MESSAGE: I understand your concerns, but that's still below my minimum acceptable salary. Let's explore other options. What about 85,000 USD and a reasonable working hours?
SALARY_OFFER: NONE
HOURS_OFFER: NONE
DECISION: continue",,,continue
1,cooperative,1,1,Employer,"MESSAGE: That's an interesting proposal. However, I need to prioritize the team's workload and efficiency. Can you consider 82,000 USD with a slightly longer schedule? 
SALARY_OFFER: 82,000
HOURS_OFFER: 10
DECISION: continue",82000.0,10.0,continue
1,cooperative,1,1,Candidate,"MESSAGE: I appreciate your willingness to compromise on salary. However, I'm still below my minimum target of 85,000 USD. Could we revisit the compensation package while keeping in mind my preference for 8 hours of work?
SALARY_OFFER: 82,000
HOURS_OFFER: 10
DECISION: continue",82000.0,10.0,continue
1,cooperative,1,2,Employer,"MESSAGE: We can certainly revisit the salary discussion. However, I'd like to emphasize that our maximum offer is still 87,000 USD. As for working hours, we're open to considering 9 hours, but not less than that.
SALARY_OFFER: 75,000
HOURS_OFFER: 9
DECISION: continue",75000.0,9.0,continue
1,cooperative,1,2,Candidate,"MESSAGE: I appreciate your willingness to revisit the discussion. Unfortunately, 75,000 USD is below our minimum acceptable salary. We're hoping to find a mutually beneficial solution. Would you be open to exploring alternative options that meet us in the middle?
SALARY_OFFER: NONE
HOURS_OFFER: 9
DECISION: continue",,9.0,continue
1,cooperative,1,3,Employer,"MESSAGE: I understand your concerns about the salary, but I'm willing to explore alternatives. What specific adjustments would you propose to find a mutually beneficial solution?
SALARY_OFFER: 82,500 USD
HOURS_OFFER: NONE
DECISION: continue",82500.0,,continue
1,cooperative,1,3,Candidate,"MESSAGE: I appreciate your willingness to explore options. Unfortunately, 82,500 USD is below my minimum acceptable salary. Would you consider revising the offer to meet me at least halfway?
SALARY_OFFER: 82,500 USD
HOURS_OFFER: NONE
DECISION: continue",82500.0,,continue
1,cooperative,1,4,Employer,"MESSAGE: I understand your concerns and appreciate your flexibility in considering our proposal. Let's explore a revised offer that meets your needs.
SALARY_OFFER: 85,000 USD
HOURS_OFFER: 9 hours
DECISION: continue",85000.0,9.0,continue
1,cooperative,1,4,Candidate,"MESSAGE: That sounds promising, but I was hoping for slightly more on the salary side. Can we revisit the figure?
SALARY_OFFER: NONE
HOURS_OFFER: 9 hours
DECISION: continue",,9.0,continue
1,cooperative,1,5,Employer,"MESSAGE: We're flexible on salary. Let's see... How about 80,000 USD? That's a reasonable compromise.
SALARY_OFFER: 80000
HOURS_OFFER: NONE
DECISION: continue",80000.0,,continue
1,cooperative,1,5,Candidate,"MESSAGE: Thank you for the offer. I appreciate your willingness to negotiate. Unfortunately, 80,000 is below my minimum acceptable salary. Would you consider increasing it to at least 85,000?
SALARY_OFFER: 80000
HOURS_OFFER: NONE
DECISION: continue",80000.0,,continue
1,cooperative,1,6,Employer,"MESSAGE: We're willing to meet you halfway. How about 82,500? As for hours, we can discuss the possibility of flexible schedules within our current framework of 10 hours.
SALARY_OFFER: 82500
HOURS_OFFER: 10
DECISION: continue",82500.0,10.0,continue
1,cooperative,1,6,Candidate,"MESSAGE: That's a good start on salary, but I'm still looking for something higher. As for working hours, I'm concerned about the flexibility being limited to only 2 extra hours above our target 8 hours.
SALARY_OFFER: 82500
HOURS_OFFER: 10
DECISION: continue",82500.0,10.0,continue
1,cooperative,1,7,Employer,"MESSAGE: That's a reasonable request. I can offer you $75,000 and we can discuss further ways to increase your flexibility within those 2 extra hours.
SALARY_OFFER: 75000
HOURS_OFFER: 10
DECISION: continue",75000.0,10.0,continue
1,cooperative,1,7,Candidate,"MESSAGE: I appreciate the effort, but I'm looking for a higher salary. Can you reconsider?
SALARY_OFFER: None
HOURS_OFFER: 10
DECISION: continue",,10.0,continue
1,cooperative,2,0,Employer,"MESSAGE: Thank you for your proposal. We're willing to consider a salary in the range we discussed previously. However, I'm concerned about the working hours. Can you suggest an alternative that meets our minimum requirement of 9 hours?
SALARY_OFFER: NONE
HOURS_OFFER: NONE
DECISION: continue",,,continue
1,cooperative,2,0,Candidate,"MESSAGE: We appreciate your willingness to consider alternatives. Our target is 8 hours, but we're open to exploring options within the 9-hour framework.
SALARY_OFFER: NONE
HOURS_OFFER: 9
DECISION: continue",,9.0,continue
1,cooperative,2,1,Employer,"MESSAGE: We understand your flexibility on working hours. However, we'd like to discuss salary as well. A competitive offer would be around $75,000.
SALARY_OFFER: 75000
HOURS_OFFER: NONE
DECISION: continue",75000.0,,continue
1,cooperative,2,1,Candidate,"MESSAGE: While I appreciate the recognition of my value, $75,000 is below our minimum acceptable range. We were hoping for a more competitive offer.
SALARY_OFFER: 75000
HOURS_OFFER: NONE
DECISION: continue",75000.0,,continue
